Motif	Domain	Interaction Domain Description	Interaction Domain Name
3DID_Ank_2_LIG_9-18	PF12796	Ank_2	Ank_2
3DID_Ank_LIG_0-0	PF00023	Ank	Ank
3DID_Ank_LIG_1-0	PF00023	Ank	Ank
3DID_Ank_LIG_1-2	PF00023	Ank	Ank
3DID_Ank_LIG_2-0	PF00023	Ank	Ank
3DID_Ank_LIG_2-5	PF00023	Ank	Ank
3DID_Ank_LIG_2-6	PF00023	Ank	Ank
3DID_Arf_LIG_1-0	PF00025	Arf	Arf
3DID_Arf_LIG_1-1	PF00025	Arf	Arf
3DID_Arm_LIG_1-0	PF00514	Arm	Arm
3DID_Arm_LIG_1-1	PF00514	Arm	Arm
3DID_Arm_LIG_1-10	PF00514	Arm	Arm
3DID_Arm_LIG_1-17	PF00514	Arm	Arm
3DID_Arm_LIG_1-18	PF00514	Arm	Arm
