Gene,expression
TINAGL1,0.184622106
PEF1,0.137648243
PTP4A2,1.939686164
KHDRBS1,1.046326756
TMEM39B,0.084838661
KPNA6,0.164136141
TXLNA,0.088698375
TMEM234,0.045609035
EIF3I,0.951457374
HDAC1,1.260971644
MARCKSL1,1.936473001
BSDC1,0.225918505
ZBTB8A,0.055114638
ZBTB8OS,0.684685086
RBBP4,0.383801365
SYNC,0.046114025
KIAA1522,0.419773838
YARS,0.068276167
S100PBP,0.098008468
TMEM54,11.29035863
RNF19B,0.34922897
AK2,1.06150686
ZNF362,0.106226004
PHC2,0.078866144
SMIM12,0.394674479
ZMYM6NB,0.008469523
ZMYM6,0.136256159
ZMYM1,0.013068752
SFPQ,1.465831127
ZMYM4,0.109984286
KIAA0319L,0.412246175
TFAP2E,0.005987909
PSMB2,1.195057283
CLSPN,0.043935199
AGO4,0.071264021
AGO1,0.05254589
AGO3,0.315001508
ADPRHL2,0.031471302
TRAPPC3,0.815364617
MAP7D1,0.094850188
THRAP3,0.757780657
SH3D21,0.090646436
STK40,0.23276811
LSM10,0.164826302
OSCP1,0.010401411
MRPS15,0.632117004
LINC01137,0.024622408
ZC3H12A,0.16264623
MEAF6,0.225929413
SNIP1,0.142503718
DNALI1,0.011442485
GNL2,0.046135071
C1orf109,0.011131494
CDCA8,0.041644456
EPHA10,0.09271
MANEAL,0.016094147
YRDC,0.045608145
C1orf122,0.865260975
MTF1,0.27455645
INPP5B,0.13091747
SF3A3,0.02328261
UTP11L,0.332920451
RRAGC,0.568610925
MYCBP,0.541949998
RHBDL2,0.110008254
AKIRIN1,0.414055807
NDUFS5,3.708005175
MACF1,0.507945064
KIAA0754,0.029921486
RP11-69E11.4,0.165343915
PABPC4,0.261589154
PPIE,0.112080681
BMP8B,0.136348583
MYCL,0.01403527
MFSD2A,0.046206512
CAP1,3.639324441
PPT1,0.078221951
RLF,0.474024291
RP1-39G22.7,0.049290645
ZMPSTE24,0.279173467
COL9A2,0.091894863
SMAP2,0.180242763
ZNF684,0.03047294
NFYC,0.079389449
SCMH1,0.037736988
GUCA2B,81.02010423
GUCA2A,96.71630701
FOXJ3,0.193751626
RIMKLA,0.094701558
ZMYND12,0.026860925
PPCS,0.617126831
PPIH,0.158997418
YBX1,5.554689109
C1orf50,0.107704771
CCDC23,0.177167745
ERMAP,0.051225309
ZNF691,0.032002048
SLC2A1,0.217429893
EBNA1BP2,0.2507269
TMEM125,0.376181981
C1orf210,0.273526793
RP1-92O14.3,0.010401411
CDC20,0.027828735
ELOVL1,0.845987656
MED8,0.121775894
SZT2,0.010401411
HYI,0.203232045
PTPRF,2.340648426
KDM4A,0.262871869
DPH2,0.085922285
ATP6V0B,2.914145193
B4GALT2,0.1019737
CCDC24,0.213966938
SLC6A9,0.275271211
DMAP1,0.188175579
