Gene,avg_log2FC
MACROD2,4.9544869657266
TPX2,5.4233257851055
ACTL10,6.35630137393588
NCOA6,4.9544869657266
TGM2,6.67292456640391
ACTR5,4.9959066552575
SLC17A9,4.9959066552575
CTD-3184A7.4,4.9959066552575
TLE6,5.28840173823563
TMIGD2,5.28840173823563
PDE4A,5.82693370030659
ZSWIM4,5.28840173823563
ASF1B,4.9544869657266
RAB3A,6.35630137393588
ZNF429,5.28840173823563
ANKRD27,4.9544869657266
ZNF30,4.9959066552575
C19orf55,5.28840173823563
TYROBP,6.05592984383174
MIA,5.28840173823563
EMP3,5.28840173823563
CA11,4.9959066552575
PLEKHA4,5.28840173823563
ZNF880,4.9959066552575
ZNF28,5.76913678672409
ZNF320,5.82693370030659
LAIR2,4.9959066552575
ZNF419,5.82693370030659
KB-226F1.1,4.9959066552575
CTA-445C9.15,4.9544869657266
MIAT,4.9959066552575
GATSL3,4.9544869657266
APOL1,6.05592984383174
APOBEC3F,5.20233920930009
EP300,5.82693370030659
BRD1,4.9544869657266
DENND6B,5.82693370030659
AP000692.10,6.05592984383174
CHAF1B,4.9544869657266
AP001412.1,4.9544869657266
SH3BGR,6.35630137393588
ZBTB21,5.82693370030659
PKNOX1,5.20233920930009
LINC00205,5.28840173823563
RP11-73M7.1,4.9959066552575
CA14,5.28840173823563
TSACC,4.9544869657266
DRC1,4.9544869657266
C2orf61,6.05592984383174
AC004009.3,4.9544869657266
XXyac-YM21GA2.4,5.28840173823563
RP11-285A1.1,4.9544869657266
EVPLL,5.20233920930009
RIPPLY3,4.9959066552575
RP11-458D21.6,4.9544869657266
ALPPL2,5.20233920930009
